Indice,Method,r,Target,Paper_ID
Dprime,Permuted,0.62635,Friend,Pn16E3
Efficiency,First-Second,-0.04259,Friend,Pn16E3
Efficiency,Odd-Even,-0.04962,Friend,Pn16E3
Efficiency,Permuted,-0.08843,Friend,Pn16E3
ezDDM: v,First-Second,-0.10109,Friend,Pn16E3
ezDDM: v,Odd-Even,0.92441,Friend,Pn16E3
ezDDM: v,Permuted,0.71162,Friend,Pn16E3
ezDDM: z,First-Second,0.1756,Friend,Pn16E3
ezDDM: z,Odd-Even,0.80269,Friend,Pn16E3
ezDDM: z,Permuted,0.48939,Friend,Pn16E3
RT,First-Second,0.71118,Friend,Pn23E1
RT,Odd-Even,0.76657,Friend,Pn23E1
RT,Permuted,0.80671,Friend,Pn23E1
ACC,First-Second,0.43556,Friend,Pn23E1
ACC,Odd-Even,0.61288,Friend,Pn23E1
ACC,Permuted,0.62278,Friend,Pn23E1
Dprime,First-Second,0.44539,Friend,Pn23E1
Dprime,Odd-Even,0.51696,Friend,Pn23E1
Dprime,Permuted,0.57681,Friend,Pn23E1
Efficiency,First-Second,0.1817,Friend,Pn23E1
Efficiency,Odd-Even,0.26804,Friend,Pn23E1
Efficiency,Permuted,0.25215,Friend,Pn23E1
